,Name,Products,Reviews,Sentiments
0,tv,Samsung 163 cm (65 inch) Ultra HD (4K) LED Smart TV,Value for money,positive
1,tv,Samsung 163 cm (65 inch) Ultra HD (4K) LED Smart TV,Superb picture quality.,positive
2,tv,Hisense A71F 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & ATMOS,"The Deep Detail of TV is in photos I uploaded. I share the whole hardware of TV . Hardware wise TV is good at this price range. Before you start watching my review I was upgrading from LG TV to Hisense TV.I divide the review in 3 Part (1) Picture Quality: First of all Panel is 4K and support upto 4K@60Fps . 4K Video looks great . 1080P also looks great from some distance and look exactly same as 4K. AI Upscale feature is good. Whenever you play HDR, in Picture mode you select Many HDR ...",positive
3,tv,Hisense A71F 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & ATMOS,"First of all thank you Flipkart,Second one is Hisense.Now review for my 43’ led Tv. Some people say this product review wrong .But My opinion this one is awesome.Very fast connect .Picture quality is very nice 4K mode and HD both mode . Product is impressed for me and my family. Sound is very nice . All function are work very nicely  and also useful .All over experience is unbelievable. Once again Thankyou Flipkart and installation team.",positive
4,tv,Hisense A71F 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & ATMOS,"Giving this review after two days of use. Very happy with the product, flipkart quick delivery  and the installation. As per the promotional offer from hisense my 55"" tv will be under warranty of coming 5yrs. Hope there won't be any issues before and after. Initially I thought of using my Sony home theater for better audio, now I realized it don't need because of Dolby Atmos. Thank you Hisense and Flipkart.",positive
5,tv,Hisense A71F 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & ATMOS,Product satisfies all the mandatory requirements one who looks to have an android TV.. Only one improvement could be in wall mounting bracket. May be one who is living in compact homes will find it bit risky of getting TV hit accidentally. Distance between TV panel and wall behind it is huge due to bracket depth is more comparatively. It should be short i guess. Leaving that its worth buying in this price range.,positive
6,tv,Hisense A71F 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & ATMOS,"Mind blowing purchase Thnx fr Flipkart fr bringing such an awesome tv in v affordable pricing n add on to ur Discounts ( credit Card n SuperCoins n Gift voucher won in ur *Fake or not* show ) HiSense is abrand to watch out fr future , expecting 75"" n 85"" Qled TV's v damm affordable pricings in future Thnx fr 5years Panal guarantee service I'm only worried now about Power consumption of Tv as Power rating stars are not mentioned n given in tv",positive
7,tv,Hisense A71F 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & ATMOS,"Simply superb productPicture and sound quality niceConnectivity is awesomeCast function above android Oreo versions easily connect, below version little bit tough.Voice activated blue tooth remote control work super and Google assistant reply responsible is quicklyFinally  my opinion is value for money and five years warranty ( panel only) is good choice for budget segment in this product  very good. My review is last six days. After one month  complete more comments will publish. Thank ...",positive
8,tv,Hisense A71F 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & ATMOS,Hisense is the best tv for budget category.The picture quality is amazing.Sound quality is good.There were no issues in connectivity.Service and installation did there job very well.And we very extremely happy for timely delivery and installation. Especially we are thankfull to Mr Pream Saxena in helping us for immediate installation of the product in all aspects. We are fully satisfied with the product 😁,positive
9,tv,Hisense A71F 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & ATMOS,"Master blaster💥This is a value for money product...must buy and experience flagship quality in a budgeted smart tv.I was bought this one on 8th of August during the offer period of 5 years of panel warranty at 12 months NCE. The size of the screen is 55 inches.RatingPicture quality -5/5Sound (By activating Dolby Atmos) 5/5Without Dolby 5/5 however, Dolby enhances the volume.Build quality- 5/5(Remote quality is also very good)Features -5/5 ( it's a feature pack..you can control eac...",positive
10,tv,Hisense A71F 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & ATMOS,⭐⭐⭐⭐⭐ for the TV Amazing. 😍😍 The TV is very well Built and the bezeless design is so attractive. Colors are vibrant and deep. All functions are well thought. I haven't faced any connectivity issues and everything worked smoothly. The delivery by Flipkart was on time and the packaging was on tip top condition. ZERO ⭐ FOR THE INSTALLATION GUY. THE ONLY LET DOWN WAS THE PERSON WHO CAME FOR THE INSTALLATION. He was in SO MUCH HURRY. The first thing he asked from the gate was the OTP. It w...,positive
11,tv,Hisense A71F 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & ATMOS,"Picture quality is very good as compared to other budget televisions like MI. It supports all video formats like x265 and h265 Operating system is not very fast but it works smoothly. One of the major issue that I have noticed is that-Tv has noticeable motion blur/judder problem while playing action movies or when camera moves little bit quickly. 4k 60 fps plays smoothly but movies/TV shows are usually coded at 24fps. So, it is bit irritating for a cinema lover. Just watch cricket highlight...",positive
12,tv,Realme 80 cm (32 inch) HD Ready LED Smart Android TV,"After 1 Month of TV Usage, Awesome TV... Superb Sound & Excellent Picture Quality... Don't worry about the connectivity..we have to download Google Home app... Overall Best TV at this price... Flipkart delivery also excellent at expected time.. Thank You ❤️",positive
13,tv,Realme 80 cm (32 inch) HD Ready LED Smart Android TV,Very Good Products 😊Very Good Audio ❤️Very Good Video ❤️Very Good Picture ❤️,positive
